src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
LOG-LOSA-01,LOG-LOSA-11,183972,0,183972,0,0.045631474,0
LOG-LOSA-01,LOG-LOSA-13,183972,0,183972,0,0.039520478,0
LOG-LOSA-01,LOG-LOSA-33,183972,82285,183972,2139409,0.027308804,0
LOG-LOSA-01,LOG-LOSA-84,183972,92002,183972,184003,0.061921437,0
LOG-LOSA-02,LOG-LOSA-07,140147,244146,700735,1953171,0,6
LOG-LOSA-02,LOG-LOSA-39,140147,67994,700735,747930,0.0075993,0
LOG-LOSA-02,LOG-LOSA-81,140147,133193,700735,7725201,0.00333086,0
LOG-LOSA-03,LOG-LOSA-11,65760,0,1512491,0,0.138595921,0
LOG-LOSA-03,LOG-LOSA-53,65760,80212,1512491,1363597,0.056137839,0
LOG-LOSA-03,LOG-LOSA-61,65760,0,1512491,0,0.001725197,0
LOG-LOSA-03,LOG-LOSA-64,65760,70652,1512491,8336927,0.048322861,0
LOG-LOSA-03,LOG-LOSA-79,65760,118934,1512491,14509976,0.08183993,0
LOG-LOSA-05,LOG-LOSA-19,0,85069,0,6210051,0.048720074,0
LOG-LOSA-05,LOG-LOSA-33,0,82285,0,2139409,0.09458987,0
LOG-LOSA-05,LOG-LOSA-77,0,97310,0,3503148,0.05939791,0
LOG-LOSA-06,LOG-LOSA-72,93843,135188,21771546,22441252,0,4
LOG-LOSA-06,LOG-LOSA-79,93843,118934,21771546,14509976,0.121509795,0
LOG-LOSA-08,LOG-LOSA-07,109816,244146,1647236,1953171,0.001620744,0
LOG-LOSA-08,LOG-LOSA-09,109816,134040,1647236,7372178,0,4
LOG-LOSA-08,LOG-LOSA-10,109816,50179,1647236,551973,0,2
LOG-LOSA-08,LOG-LOSA-42,109816,0,1647236,0,1.60E-07,0
LOG-LOSA-08,LOG-LOSA-54,109816,64209,1647236,1027350,0,4
LOG-LOSA-08,LOG-LOSA-60,109816,78296,1647236,1174444,0,2
LOG-LOSA-08,LOG-LOSA-86,109816,108623,1647236,868986,0.04920912,0
LOG-LOSA-09,LOG-LOSA-10,134040,50179,7372178,551973,0,1
LOG-LOSA-09,LOG-LOSA-54,134040,64209,7372178,1027350,0.000932865,0
LOG-LOSA-09,LOG-LOSA-81,134040,133193,7372178,7725201,0,1
LOG-LOSA-0A,LOG-LOSA-06,162027,93843,1782301,21771546,0,2
LOG-LOSA-0A,LOG-LOSA-29,162027,204209,1782301,612626,0,1
LOG-LOSA-0A,LOG-LOSA-30,162027,90125,1782301,720997,0.014684659,0
LOG-LOSA-0A,LOG-LOSA-67,162027,92637,1782301,1019005,0.015091721,0
LOG-LOSA-0A,LOG-LOSA-72,162027,135188,1782301,22441252,0,4
LOG-LOSA-0A,LOG-LOSA-79,162027,118934,1782301,14509976,0.027447717,0
LOG-LOSA-0B,LOG-LOSA-65,0,0,0,0,0.482766569,0
LOG-LOSA-0C,LOG-LOSA-25,0,92257,0,2121912,0.034168625,0
LOG-LOSA-0C,LOG-LOSA-75,0,189580,0,16683067,0.017164533,0
LOG-LOSA-10,LOG-LOSA-07,50179,244146,551973,1953171,0.02428277,0
LOG-LOSA-10,LOG-LOSA-81,50179,133193,551973,7725201,0,2
LOG-LOSA-12,LOG-LOSA-63,0,104890,0,2307581,0.000974,0
LOG-LOSA-12,LOG-LOSA-89,0,0,0,0,0.008582536,0
LOG-LOSA-13,LOG-LOSA-11,0,0,0,0,0.021540679,0
LOG-LOSA-13,LOG-LOSA-33,0,82285,0,2139409,0.034612,0
LOG-LOSA-13,LOG-LOSA-61,0,0,0,0,0.034967263,0
LOG-LOSA-14,LOG-LOSA-16,29105,38189,29105,381890,0,4
LOG-LOSA-14,LOG-LOSA-49,29105,133292,29105,4931810,0,4
LOG-LOSA-14,LOG-LOSA-63,29105,104890,29105,2307581,0.022781022,0
LOG-LOSA-14,LOG-LOSA-74,29105,170074,29105,3061331,0,7
LOG-LOSA-15,LOG-LOSA-16,37320,38189,186599,381890,1.09E-06,0
LOG-LOSA-15,LOG-LOSA-63,37320,104890,186599,2307581,1.00E-06,0
LOG-LOSA-15,LOG-LOSA-74,37320,170074,186599,3061331,0,2
LOG-LOSA-16,LOG-LOSA-63,38189,104890,381890,2307581,1.00E-06,0
LOG-LOSA-16,LOG-LOSA-74,38189,170074,381890,3061331,0,2
LOG-LOSA-17,LOG-LOSA-40,95162,104891,761300,1573359,0.103952894,0
LOG-LOSA-17,LOG-LOSA-41,95162,66759,761300,600833,0.003675828,0
LOG-LOSA-18,LOG-LOSA-32,111624,155291,17190116,3571694,0.072303737,0
LOG-LOSA-18,LOG-LOSA-36,111624,117546,17190116,10461584,1.41E-06,0
LOG-LOSA-18,LOG-LOSA-45,111624,126731,17190116,6970222,0.018393418,0
LOG-LOSA-18,LOG-LOSA-67,111624,92637,17190116,1019005,0,2
