SubmarketCode,N_prop,Avg_Buiding_Size,Vacancy,Rent,Inventory,Demand,UnadjustedRent
LOG-LOSA-01,1,183972,0,9.550871106,183972,183972,NULL
LOG-LOSA-02,5,140147,0,6.708439714,700735,700735,7.199971676
LOG-LOSA-03,23,65760.47826,0.084432237,14.93958896,1512491,1384788,15.38541698
LOG-LOSA-04,4,79351.25,0,9.100801516,317405,317405,NULL
LOG-LOSA-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-06,232,93842.87069,0.013847523,7.331343284,21771546,21470064,7.404117584
LOG-LOSA-07,8,244146.375,0.014130867,8.885507135,1953171,1925571,9
LOG-LOSA-08,15,109815.7333,0,7.215117659,1647236,1647236,7.949909687
LOG-LOSA-09,55,134039.6,0.052332159,7.849982859,7372178,6986376,8.592775345
LOG-LOSA-0A,11,162027.3636,0,6.396186065,1782301,1782301,2.75999999
LOG-LOSA-0B,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-0C,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-0D,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-10,11,50179.36364,0.041491158,8.395091235,551973,529071,9
LOG-LOSA-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-14,1,29105,0,11.39470177,29105,29105,NULL
LOG-LOSA-15,5,37319.8,0,8.075127691,186599,186599,NULL
LOG-LOSA-16,10,38189,0,8.841451954,381890,381890,9.35997963
LOG-LOSA-17,8,95162.5,0,10.16325891,761300,761300,13.19999981
LOG-LOSA-18,154,111624.1299,0,7.294409644,17190116,17190116,7.33728981
LOG-LOSA-19,73,85069.19178,0.024282893,8.356739876,6210051,6059253,7.54426384
LOG-LOSA-20,1,265000,0,0,265000,265000,NULL
LOG-LOSA-21,3,44400,0,12.88999628,133200,133200,NULL
LOG-LOSA-22,7,67887.71429,0,8.887366034,475214,475214,8.279999733
LOG-LOSA-23,4,41752.25,0,0,167009,167009,NULL
LOG-LOSA-24,100,98250.26,0.027072091,7.362148775,9825026,9559042,7.611967564
LOG-LOSA-25,23,92257.04348,0.004712731,8.644732051,2121912,2111912,6.705688477
LOG-LOSA-26,33,121121.2121,0.069212161,7.348090516,3997000,3720359,5.085654736
LOG-LOSA-27,10,77105.9,0,8.81043299,771059,771059,7.734545231
LOG-LOSA-28,3,60528.33333,0.556532741,12.22999881,181585,80527,14.50934982
LOG-LOSA-29,3,204208.6667,0,0,612626,612626,NULL
LOG-LOSA-30,8,90124.625,0,7.578128894,720997,720997,NULL
LOG-LOSA-32,23,155291.0435,0.017358709,6.66195161,3571694,3509694,6.777653694
LOG-LOSA-33,26,82284.96154,0,11.23771874,2139409,2139409,NULL
LOG-LOSA-34,14,51335.14286,0,8.757493384,718692,718692,9.327230453
LOG-LOSA-36,89,117545.8876,0.013006156,6.43967011,10461584,10325519,6.345785618
LOG-LOSA-37,2,28276,0,0,56552,56552,NULL
LOG-LOSA-39,11,67993.63636,0,7.254362665,747930,747930,7.799992085
LOG-LOSA-40,15,104890.6,0,7.22608055,1573359,1573359,6.599999905
LOG-LOSA-41,9,66759.22222,0,10.92249083,600833,600833,NULL
LOG-LOSA-42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOG-LOSA-43,1,53203,0,0,53203,53203,NULL
LOG-LOSA-44,12,46083.75,0.084042639,8.315239717,553005,506529,7.686340332
LOG-LOSA-45,55,126731.3091,0.007747243,7.016705516,6970222,6916222,7.259200096
LOG-LOSA-46,33,108129.4242,0,8.986693379,3568271,3568271,8.017173767
LOG-LOSA-47,11,70175.36364,0.005578233,12.07027523,771929,767623,10.85105324
LOG-LOSA-48,75,88739.13333,0.004565292,8.272359931,6655435,6625051,7.669303894
