OBJECTID,src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
1,LOG-LOSA-01,LOG-LOSA-11,183972,0,183972,0,0.045631474225733,0
2,LOG-LOSA-01,LOG-LOSA-13,183972,0,183972,0,0.039520478022774,0
3,LOG-LOSA-01,LOG-LOSA-33,183972,82285,183972,2139409,0.027308803699781,0
4,LOG-LOSA-01,LOG-LOSA-84,183972,92002,183972,184003,0.061921437156030,0
5,LOG-LOSA-02,LOG-LOSA-07,140147,244146,700735,1953171,0.000000000000000,6
6,LOG-LOSA-02,LOG-LOSA-39,140147,67994,700735,747930,0.007599299572952,0
7,LOG-LOSA-02,LOG-LOSA-81,140147,133193,700735,7725201,0.003330859603507,0
8,LOG-LOSA-03,LOG-LOSA-11,65760,0,1512491,0,0.138595920862175,0
9,LOG-LOSA-03,LOG-LOSA-53,65760,80212,1512491,1363597,0.056137839310699,0
10,LOG-LOSA-03,LOG-LOSA-61,65760,0,1512491,0,0.001725197090191,0
11,LOG-LOSA-03,LOG-LOSA-64,65760,70652,1512491,8336927,0.048322860575829,0
12,LOG-LOSA-03,LOG-LOSA-79,65760,118934,1512491,14509976,0.081839929947202,0
13,LOG-LOSA-05,LOG-LOSA-19,0,85069,0,6210051,0.048720073727077,0
14,LOG-LOSA-05,LOG-LOSA-33,0,82285,0,2139409,0.094589870224809,0
15,LOG-LOSA-05,LOG-LOSA-77,0,97310,0,3503148,0.059397909715382,0
16,LOG-LOSA-06,LOG-LOSA-72,93843,135188,21771546,22441252,0.000000000000000,4
17,LOG-LOSA-06,LOG-LOSA-79,93843,118934,21771546,14509976,0.121509794811233,0
18,LOG-LOSA-08,LOG-LOSA-07,109816,244146,1647236,1953171,0.001620743656370,0
19,LOG-LOSA-08,LOG-LOSA-09,109816,134040,1647236,7372178,0.000000000000000,4
20,LOG-LOSA-08,LOG-LOSA-10,109816,50179,1647236,551973,0.000000000000000,2
21,LOG-LOSA-08,LOG-LOSA-42,109816,0,1647236,0,0.000000160168092,0
22,LOG-LOSA-08,LOG-LOSA-54,109816,64209,1647236,1027350,0.000000000000000,4
23,LOG-LOSA-08,LOG-LOSA-60,109816,78296,1647236,1174444,0.000000000000000,2
24,LOG-LOSA-08,LOG-LOSA-86,109816,108623,1647236,868986,0.049209120233649,0
25,LOG-LOSA-09,LOG-LOSA-10,134040,50179,7372178,551973,0.000000000000000,1
26,LOG-LOSA-09,LOG-LOSA-54,134040,64209,7372178,1027350,0.000932865341303,0
27,LOG-LOSA-09,LOG-LOSA-81,134040,133193,7372178,7725201,0.000000000000000,1
28,LOG-LOSA-0A,LOG-LOSA-06,162027,93843,1782301,21771546,0.000000000000000,2
29,LOG-LOSA-0A,LOG-LOSA-29,162027,204209,1782301,612626,0.000000000000000,1
30,LOG-LOSA-0A,LOG-LOSA-30,162027,90125,1782301,720997,0.014684658929441,0
31,LOG-LOSA-0A,LOG-LOSA-67,162027,92637,1782301,1019005,0.015091720517082,0
32,LOG-LOSA-0A,LOG-LOSA-72,162027,135188,1782301,22441252,0.000000000000000,4
33,LOG-LOSA-0A,LOG-LOSA-79,162027,118934,1782301,14509976,0.027447716754459,0
34,LOG-LOSA-0B,LOG-LOSA-65,0,0,0,0,0.482766568852953,0
35,LOG-LOSA-0C,LOG-LOSA-25,0,92257,0,2121912,0.034168624899531,0
36,LOG-LOSA-0C,LOG-LOSA-75,0,189580,0,16683067,0.017164533462856,0
37,LOG-LOSA-10,LOG-LOSA-07,50179,244146,551973,1953171,0.024282770186955,0
38,LOG-LOSA-10,LOG-LOSA-81,50179,133193,551973,7725201,0.000000000000000,2
39,LOG-LOSA-12,LOG-LOSA-63,0,104890,0,2307581,0.000973999999943,0
40,LOG-LOSA-12,LOG-LOSA-89,0,0,0,0,0.008582536285127,0
41,LOG-LOSA-13,LOG-LOSA-11,0,0,0,0,0.021540679028518,0
42,LOG-LOSA-13,LOG-LOSA-33,0,82285,0,2139409,0.034612000000052,0
43,LOG-LOSA-13,LOG-LOSA-61,0,0,0,0,0.034967263275780,0
44,LOG-LOSA-14,LOG-LOSA-16,29105,38189,29105,381890,0.000000000000000,4
45,LOG-LOSA-14,LOG-LOSA-49,29105,133292,29105,4931810,0.000000000000000,4
46,LOG-LOSA-14,LOG-LOSA-63,29105,104890,29105,2307581,0.022781022027932,0
47,LOG-LOSA-14,LOG-LOSA-74,29105,170074,29105,3061331,0.000000000000000,7
48,LOG-LOSA-15,LOG-LOSA-16,37320,38189,186599,381890,0.000001094861988,0
49,LOG-LOSA-15,LOG-LOSA-63,37320,104890,186599,2307581,0.000000999971231,0
50,LOG-LOSA-15,LOG-LOSA-74,37320,170074,186599,3061331,0.000000000000000,2
51,LOG-LOSA-16,LOG-LOSA-63,38189,104890,381890,2307581,0.000000999971231,0
52,LOG-LOSA-16,LOG-LOSA-74,38189,170074,381890,3061331,0.000000000000000,2
53,LOG-LOSA-17,LOG-LOSA-40,95162,104891,761300,1573359,0.103952894309178,0
54,LOG-LOSA-17,LOG-LOSA-41,95162,66759,761300,600833,0.003675827661861,0
55,LOG-LOSA-18,LOG-LOSA-32,111624,155291,17190116,3571694,0.072303736819249,0
56,LOG-LOSA-18,LOG-LOSA-36,111624,117546,17190116,10461584,0.000001405066318,0
57,LOG-LOSA-18,LOG-LOSA-45,111624,126731,17190116,6970222,0.018393417980428,0
58,LOG-LOSA-18,LOG-LOSA-67,111624,92637,17190116,1019005,0.000000000000000,2
59,LOG-LOSA-18,LOG-LOSA-78,111624,94613,17190116,5582183,0.000000000000000,2
60,LOG-LOSA-19,LOG-LOSA-0D,85069,0,6210051,0,0.784143075031873,0
61,LOG-LOSA-19,LOG-LOSA-65,85069,0,6210051,0,0.196002566812171,0
62,LOG-LOSA-20,LOG-LOSA-02,265000,140147,265000,700735,0.000000000000000,3
63,LOG-LOSA-20,LOG-LOSA-07,265000,244146,265000,1953171,0.042893525898832,0
64,LOG-LOSA-20,LOG-LOSA-39,265000,67994,265000,747930,0.000000000000000,2
65,LOG-LOSA-21,LOG-LOSA-12,44400,0,133200,0,0.014400766098162,0
66,LOG-LOSA-21,LOG-LOSA-23,44400,41752,133200,167009,0.029797705138467,0
67,LOG-LOSA-22,LOG-LOSA-04,67888,79351,475214,317405,0.000000000000000,3
68,LOG-LOSA-22,LOG-LOSA-25,67888,92257,475214,2121912,0.000000000000000,4
69,LOG-LOSA-22,LOG-LOSA-26,67888,121121,475214,3997000,0.000000000000000,2
70,LOG-LOSA-22,LOG-LOSA-52,67888,79062,475214,158125,0.033239891142836,0
71,LOG-LOSA-22,LOG-LOSA-65,67888,0,475214,0,0.048319065088974,0
72,LOG-LOSA-22,LOG-LOSA-69,67888,44919,475214,179675,0.000000000000000,7
73,LOG-LOSA-23,LOG-LOSA-12,41752,0,167009,0,0.014403206133066,0
74,LOG-LOSA-23,LOG-LOSA-15,41752,37320,167009,186599,0.000275016362891,0
75,LOG-LOSA-23,LOG-LOSA-63,41752,104890,167009,2307581,0.000000000000000,9
76,LOG-LOSA-24,LOG-LOSA-41,98250,66759,9825026,600833,0.021715528078464,0
77,LOG-LOSA-26,LOG-LOSA-25,121121,92257,3997000,2121912,0.033593293211526,0
78,LOG-LOSA-27,LOG-LOSA-22,77106,67888,771059,475214,0.000000000000000,22
79,LOG-LOSA-27,LOG-LOSA-26,77106,121121,771059,3997000,0.059177035943630,0
80,LOG-LOSA-27,LOG-LOSA-44,77106,46084,771059,553005,0.003840295431290,0
81,LOG-LOSA-27,LOG-LOSA-73,77106,43000,771059,129000,0.000000000000000,3
82,LOG-LOSA-28,LOG-LOSA-12,60528,0,181585,0,0.000000000000000,2
83,LOG-LOSA-28,LOG-LOSA-21,60528,44400,181585,133200,0.017288735975404,0
84,LOG-LOSA-28,LOG-LOSA-53,60528,80212,181585,1363597,0.075838545724837,0
85,LOG-LOSA-28,LOG-LOSA-65,60528,0,181585,0,0.140190785986254,0
86,LOG-LOSA-28,LOG-LOSA-79,60528,118934,181585,14509976,0.076278568782781,0
87,LOG-LOSA-28,LOG-LOSA-89,60528,0,181585,0,0.009030308523253,0
88,LOG-LOSA-28,LOG-LOSA-91,60528,45427,181585,363416,0.011052157481798,0
89,LOG-LOSA-29,LOG-LOSA-30,204209,90125,612626,720997,0.043025472951151,0
90,LOG-LOSA-29,LOG-LOSA-32,204209,155291,612626,3571694,0.000000000000000,2
91,LOG-LOSA-30,LOG-LOSA-32,90125,155291,720997,3571694,0.000000000000000,3
92,LOG-LOSA-30,LOG-LOSA-67,90125,92637,720997,1019005,0.038155581288552,0
93,LOG-LOSA-32,LOG-LOSA-43,155291,53203,3571694,53203,0.000012000059350,0
94,LOG-LOSA-32,LOG-LOSA-67,155291,92637,3571694,1019005,0.034546180139554,0
95,LOG-LOSA-32,LOG-LOSA-78,155291,94613,3571694,5582183,0.000000000000000,5
96,LOG-LOSA-34,LOG-LOSA-03,51335,65760,718692,1512491,0.052246979456549,0
97,LOG-LOSA-34,LOG-LOSA-64,51335,70652,718692,8336927,0.081855456812350,0
98,LOG-LOSA-36,LOG-LOSA-15,117546,37320,10461584,186599,0.013867078809305,0
99,LOG-LOSA-36,LOG-LOSA-23,117546,41752,10461584,167009,0.040675476344419,0
100,LOG-LOSA-36,LOG-LOSA-45,117546,126731,10461584,6970222,0.000000000000000,2
101,LOG-LOSA-36,LOG-LOSA-50,117546,113999,10461584,7979936,0.000000000000000,2
102,LOG-LOSA-36,LOG-LOSA-74,117546,170074,10461584,3061331,0.009836438789959,0
103,LOG-LOSA-37,LOG-LOSA-46,28276,108129,56552,3568271,0.000000000000000,2
104,LOG-LOSA-37,LOG-LOSA-65,28276,0,56552,0,0.058254750209674,0
105,LOG-LOSA-37,LOG-LOSA-66,28276,67578,56552,202734,0.017305382052905,0
106,LOG-LOSA-37,LOG-LOSA-89,28276,0,56552,0,0.000000000000000,6
107,LOG-LOSA-39,LOG-LOSA-41,67994,66759,747930,600833,0.000000000000000,2
108,LOG-LOSA-39,LOG-LOSA-83,67994,150126,747930,14862476,0.014191092438838,0
109,LOG-LOSA-40,LOG-LOSA-43,104891,53203,1573359,53203,0.077187463799472,0
110,LOG-LOSA-41,LOG-LOSA-29,66759,204209,600833,612626,0.000944013241465,0
111,LOG-LOSA-41,LOG-LOSA-40,66759,104891,600833,1573359,0.018180040379152,0
112,LOG-LOSA-41,LOG-LOSA-43,66759,53203,600833,53203,0.008786765730419,0
113,LOG-LOSA-44,LOG-LOSA-22,46084,67888,553005,475214,0.039225221818003,0
114,LOG-LOSA-44,LOG-LOSA-65,46084,0,553005,0,0.017098228057419,0
115,LOG-LOSA-45,LOG-LOSA-78,126731,94613,6970222,5582183,0.010786506239986,0
116,LOG-LOSA-46,LOG-LOSA-04,108129,79351,3568271,317405,0.000000000000000,2
117,LOG-LOSA-46,LOG-LOSA-63,108129,104890,3568271,2307581,0.000000000000000,5
118,LOG-LOSA-46,LOG-LOSA-89,108129,0,3568271,0,0.000000000000000,4
119,LOG-LOSA-47,LOG-LOSA-03,70175,65760,771929,1512491,0.038632728488678,0
